332097,K19288
60877,K19288
2083199,K19288
135246,K19288
59304,K19288
59300,K19288
11024,K19288
48544,K19288
11033,K19288
59301,K19288
11021,K19288
44158,K19288
11039,K19288
37124,K19288
64293,K24570
390845,K24570
985683,K24570
11072,K24570
64286,K24570
11079,K24570
631267,K24570
64292,K24570
11072,K24570
11079,K24570
11084,K24570
11060,K24570
31658,K24570
11089,K24570
673515,K24570
11086,K24570
64294,K24570
218849,K24570
40004,K24570
1456752,K24570
1485186,K24570
1286143,K24570
1445557,K24570
649187,K24570
64299,K24570
64305,K24570
64317,K24570
1691889,K24570
1708654,K24570
1708574,K24570
1566298,K24570
64318,K24570
64296,K24570
1821222,K24570
667516,K24570
1125677,K24570
64314,K24570
1903340,K24570
12542,K24570
499854,K24570
64295,K24570
1302179,K24570
64284,K24570
64297,K24570
64309,K24570
486494,K24570
35279,K24570
64307,K24570
64310,K24570
1805494,K24570
40012,K24570
64894,K24570
1821227,K24570
64319,K24570
1244565,K24570
577122,K24570
1969397,K24570
1969400,K24570
64320,K24570
33743,K24570
64288,K24570
1963247,K24570
64315,K24570
1244563,K24570
1254420,K24570
2045186,K24570
38837,K24570
2304510,K24570
11080,K24570
11053,K24570
11069,K24570
11070,K24570
44024,K24570
44026,K24570
59563,K24570
64283,K24570
64286,K24570
64303,K24570
390844,K24570
11082,K24570
64320,K24570
64311,K24570
64290,K24570
643132,K24570
164416,K24570
11082,K24570
64300,K24570
64280,K24570
64285,K24570
11083,K24570
11085,K24570
64312,K24570
11041,K24860
138948,K25281
138949,K25281
138951,K25281
12131,K25281
12064,K25281
147711,K25281
1330521,K25281
1330521,K25281
1330520,K25281
2849103,K25281
47681,K25281
1604871,K25281
1826059,K25281
1929150,K25281
2760809,K25281
1849328,K25281
2220002,K25281
33757,K25281
12072,K25281
42789,K25281
442851,K25281
1637527,K25281
573824,K25281
44130,K25281
992230,K25281
1917412,K25281
463676,K25281
138950,K25281
310907,K25281
64141,K25281
